date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180217,2018-02-17 00:00:00,6,17,48,Saturday,Sat,N,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180218,2018-02-18 00:00:00,7,18,49,Sunday,Sun,N,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180219,2018-02-19 00:00:00,1,19,50,Monday,Mon,Y,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180220,2018-02-20 00:00:00,2,20,51,Tuesday,Tue,Y,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180221,2018-02-21 00:00:00,3,21,52,Wednesday,Wed,Y,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180222,2018-02-22 00:00:00,4,22,53,Thursday,Thu,Y,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180223,2018-02-23 00:00:00,5,23,54,Friday,Fri,Y,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180224,2018-02-24 00:00:00,6,24,55,Saturday,Sat,N,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180225,2018-02-25 00:00:00,7,25,56,Sunday,Sun,N,8,8,2018-02-19 00:00:00,20180219,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180226,2018-02-26 00:00:00,1,26,57,Monday,Mon,Y,9,9,2018-02-26 00:00:00,20180226,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180227,2018-02-27 00:00:00,2,27,58,Tuesday,Tue,Y,9,9,2018-02-26 00:00:00,20180226,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180228,2018-02-28 00:00:00,3,28,59,Wednesday,Wed,Y,9,9,2018-02-26 00:00:00,20180226,2,2,February,Feb,1,2018,201802,8,3,2018,Y
20180301,2018-03-01 00:00:00,4,1,60,Thursday,Thu,Y,9,9,2018-02-26 00:00:00,20180226,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180302,2018-03-02 00:00:00,5,2,61,Friday,Fri,Y,9,9,2018-02-26 00:00:00,20180226,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180303,2018-03-03 00:00:00,6,3,62,Saturday,Sat,N,9,9,2018-02-26 00:00:00,20180226,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180304,2018-03-04 00:00:00,7,4,63,Sunday,Sun,N,9,9,2018-02-26 00:00:00,20180226,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180305,2018-03-05 00:00:00,1,5,64,Monday,Mon,Y,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180306,2018-03-06 00:00:00,2,6,65,Tuesday,Tue,Y,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180307,2018-03-07 00:00:00,3,7,66,Wednesday,Wed,Y,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
